weight,care_responsibility,heard_before,realistic,enthusiastic,worried,willing_to_use,less_worried_about_family_care,society_saves_money,treat_robot_like_friend,older_adults_more_isolated,older_adults_more_independent,only_for_people_who_cannot_afford_human_caregiver,camera_human_operator,positive_reason_1,positive_reason_2,positive_reason_3,negative_reason_1,negative_reason_2
1.3173274,Very likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Caregiving is family's job,
0.4194824,Somewhat likely,,,,,,,,,,,,,,,,,
2.1694093,Somewhat likely,,,,,,,,,,,,,,,,,
0.5432709,Not at all likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,Household assistance,,,,
0.3020566,Not at all likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.0942004,Not at all likely,A little,Somewhat realistic,Somewhat enthusiastic,Not at all worried,Yes,"No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely","No, not likely",No difference,Reduce burden on family,,,,
0.3246583,Somewhat likely,,,,,,,,,,,,,,,,,
1.7466673,Very likely,,,,,,,,,,,,,,,,,
0.1850341,I am already doing this,,,,,,,,,,,,,,,,,
1.5936383,Very likely,Nothing at all,Not at all realistic,Somewhat enthusiastic,Very worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Refused / No answer,
0.6556614,Somewhat likely,Nothing at all,Somewhat realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Reduce burden on family,,,,
0.1295471,Not at all likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Just don't like it,
0.3277433,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,No,"Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,,,,Not advanced enough yet,
0.9006791,Very likely,,,,,,,,,,,,,,,,,
0.1142135,Very likely,,,,,,,,,,,,,,,,,
0.6169365,I am already doing this,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.6531137,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,,,,Worried about errors,
0.138336,Not at all likely,,,,,,,,,,,,,,,,,
0.3422865,Not at all likely,,,,,,,,,,,,,,,,,
1.7653154,Very likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",No difference,,,,Human factor lacking,
0.1331138,I am already doing this,A little,Not very realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Worse,,,,Human factor lacking,
0.6125848,Somewhat likely,,,,,,,,,,,,,,,,,
4.0145061,I am already doing this,Nothing at all,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","Yes, likely","No, not likely","No, not likely","No, not likely",Worse,,,,Just don't like it,
0.3511088,Somewhat likely,,,,,,,,,,,,,,,,,
1.7161785,Not too likely,A little,Somewhat realistic,Not at all enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Worse,,,,Other,
0.2938513,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Reduce burden on family,,,,
0.4386017,Very likely,,,,,,,,,,,,,,,,,
0.2827906,Very likely,Nothing at all,Not very realistic,Somewhat enthusiastic,Very worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Worse,,,,Human factor lacking,
4.3459045,I am already doing this,,,,,,,,,,,,,,,,,
0.2810576,Somewhat likely,,,,,,,,,,,,,,,,,
0.1207223,Very likely,,,,,,,,,,,,,,,,,
0.2065198,Not too likely,,,,,,,,,,,,,,,,,
0.7297506,Very likely,,,,,,,,,,,,,,,,,
0.1456005,Not at all likely,,,,,,,,,,,,,,,,,
0.1470946,Somewhat likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Better quality of care,,,,
0.0879108,Somewhat likely,,,,,,,,,,,,,,,,,
0.4547596,Very likely,,,,,,,,,,,,,,,,,
0.1033431,Not at all likely,,,,,,,,,,,,,,,,,
0.7229278,Not at all likely,,,,,,,,,,,,,,,,,
0.2575935,Very likely,Nothing at all,Not very realistic,Somewhat enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
0.5001509,Not too likely,,,,,,,,,,,,,,,,,
0.4327932,Not at all likely,A little,Somewhat realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.3639576,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Refused / No answer,,,,
0.5762825,Somewhat likely,,,,,,,,,,,,,,,,,
0.3935372,Somewhat likely,,,,,,,,,,,,,,,,,
0.1946565,Not at all likely,,,,,,,,,,,,,,,,,
0.6087248,Very likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.5131286,Somewhat likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.3947695,Very likely,,,,,,,,,,,,,,,,,
0.2301912,Very likely,,,,,,,,,,,,,,,,,
2.365916,Very likely,,,,,,,,,,,,,,,,,
0.2352656,Very likely,Nothing at all,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
0.4505085,Not at all likely,,,,,,,,,,,,,,,,,
1.0807283,I am already doing this,,,,,,,,,,,,,,,,,
0.5071302,Not too likely,,,,,,,,,,,,,,,,,
0.2559613,Very likely,Nothing at all,Somewhat realistic,Not at all enthusiastic,Very worried,No,"No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,Caregiving is family's job
2.511735,Not too likely,A little,Somewhat realistic,Not too enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Refused / No answer,,,,
0.6551172,Very likely,,,,,,,,,,,,,,,,,
0.1714271,Very likely,Nothing at all,Extremely realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,Greater independence,,,,
0.1870854,Not too likely,,,,,,,,,,,,,,,,,
0.1977955,Not at all likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not at all worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
0.3024266,Very likely,,,,,,,,,,,,,,,,,
0.1347771,Very likely,A lot,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",No difference,Other,,,,
0.2092397,I am already doing this,,,,,,,,,,,,,,,,,
0.2467499,Not at all likely,,,,,,,,,,,,,,,,,
5.7146233,Very likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Caregiving is family's job,
0.1660605,Somewhat likely,,,,,,,,,,,,,,,,,
0.5717599,Not at all likely,Nothing at all,Not at all realistic,Not too enthusiastic,Not at all worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Worse,,,,Other,
1.1292047,Not too likely,,,,,,,,,,,,,,,,,
1.4076131,I am already doing this,,,,,,,,,,,,,,,,,
0.1406288,I am already doing this,Nothing at all,Not very realistic,Somewhat enthusiastic,Not too worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely","No, not likely",Better,,,,Just don't like it,
0.1130585,I am already doing this,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Better quality of care,,,,
0.3206821,Very likely,Nothing at all,Not very realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,,,,Human factor lacking,
0.1868096,Not at all likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",No difference,Always available,,,,
0.1300099,Somewhat likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Save money,,,,
0.2200442,Not too likely,,,,,,,,,,,,,,,,,
0.2953407,Very likely,,,,,,,,,,,,,,,,,
0.3384953,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"No, not likely","Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely",Better,Reduce burden on family,,,,
4.8809049,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Always available,,,,
0.7329334,Very likely,A lot,Extremely realistic,Very enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Better quality of care,,,,
0.2184512,Very likely,A little,Not very realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",No difference,Greater independence,,,,
0.2012615,Not at all likely,,,,,,,,,,,,,,,,,
0.3596184,Somewhat likely,A little,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
1.2956349,I am already doing this,Nothing at all,Extremely realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Greater independence,,,,
0.3070838,Not too likely,Nothing at all,Somewhat realistic,Very enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",No difference,Greater independence,,,,
0.1702331,I am already doing this,,,,,,,,,,,,,,,,,
0.3514968,I am already doing this,,,,,,,,,,,,,,,,,
0.2100267,Very likely,,,,,,,,,,,,,,,,,
0.1270686,I am already doing this,Nothing at all,Not very realistic,Very enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Better quality of care,,,,
0.1564578,Somewhat likely,Nothing at all,Extremely realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Greater independence,,,,
0.367367,Not at all likely,Nothing at all,Somewhat realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Worse,,,,Just don't like it,
0.2397354,I am already doing this,,,,,,,,,,,,,,,,,
0.2012897,Very likely,,,,,,,,,,,,,,,,,
0.3691336,Very likely,,,,,,,,,,,,,,,,,
0.3139071,I am already doing this,A little,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Just don't like it,
0.1460687,Somewhat likely,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.3596184,Very likely,Nothing at all,Somewhat realistic,Not at all enthusiastic,Somewhat worried,No,"No, not likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
0.2518868,Not at all likely,,,,,,,,,,,,,,,,,
0.6461347,Not at all likely,,,,,,,,,,,,,,,,,
0.3323752,Very likely,,,,,,,,,,,,,,,,,
0.9502646,Refused,,,,,,,,,,,,,,,,,
0.2835555,Not too likely,,,,,,,,,,,,,,,,,
0.1460985,Not too likely,,,,,,,,,,,,,,,,,
4.4756929,Very likely,,,,,,,,,,,,,,,,,
0.1125777,I am already doing this,,,,,,,,,,,,,,,,,
0.1555138,I am already doing this,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Worse,,,,Human factor lacking,
0.2509243,Very likely,Nothing at all,Somewhat realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Greater independence,,,,
0.2586331,Very likely,,,,,,,,,,,,,,,,,
0.8154738,Somewhat likely,,,,,,,,,,,,,,,,,
0.0879108,Not at all likely,,,,,,,,,,,,,,,,,
1.1129909,Very likely,Nothing at all,Extremely realistic,Very enthusiastic,Not too worried,Yes,"Yes, likely","No, not likely","Yes, likely","No, not likely","No, not likely","No, not likely",Better,Better quality of care,,,,
2.6312532,Very likely,Nothing at all,Not very realistic,Somewhat enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.8108582,Not at all likely,,,,,,,,,,,,,,,,,
0.6980165,Very likely,A little,Not very realistic,Not at all enthusiastic,Not too worried,No,"No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.1525872,I am already doing this,A lot,Extremely realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",No difference,Better quality of care,,,,
1.6359068,Not at all likely,,,,,,,,,,,,,,,,,
0.1113837,Not too likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Better quality of care,,,,
0.2687239,Somewhat likely,A little,Not very realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely",Better,Greater independence,,,,
0.3388015,Somewhat likely,,,,,,,,,,,,,,,,,
0.7924379,Very likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Greater independence,,,,
0.2509243,Somewhat likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,,,,Human factor lacking,
0.5445328,Very likely,,,,,,,,,,,,,,,,,
0.3351303,Not at all likely,,,,,,,,,,,,,,,,,
0.2313997,Somewhat likely,,,,,,,,,,,,,,,,,
0.2306286,I am already doing this,,,,,,,,,,,,,,,,,
0.1062202,Not too likely,,,,,,,,,,,,,,,,,
0.5747408,Very likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","No, not likely","No, not likely","Yes, likely",Better,,,,Human factor lacking,
0.830435,Somewhat likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Worse,Greater independence,,,,
0.0879108,Not too likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Safety / Security,Companion,Household assistance,,
0.0879108,Very likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","Yes, likely","No, not likely",Worse,,,,Human factor lacking,
0.2311481,I am already doing this,A lot,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Greater independence,,,,
0.1501718,Very likely,Nothing at all,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Worse,,,,Human factor lacking,
0.1775464,Not too likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
2.3063848,Not at all likely,,,,,,,,,,,,,,,,,
0.2144887,I am already doing this,,,,,,,,,,,,,,,,,
1.0056507,Somewhat likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Very worried,No,"Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Human factor lacking,
0.1790093,Not at all likely,,,,,,,,,,,,,,,,,
0.613168,Somewhat likely,,,,,,,,,,,,,,,,,
0.2069667,Somewhat likely,A little,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.1231132,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
0.796886,Not too likely,,,,,,,,,,,,,,,,,
0.2007816,Very likely,,,,,,,,,,,,,,,,,
0.1565265,Not too likely,,,,,,,,,,,,,,,,,
0.1328348,Somewhat likely,,,,,,,,,,,,,,,,,
0.3471317,Somewhat likely,A little,Extremely realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Greater independence,,,,
0.8474297,Not at all likely,,,,,,,,,,,,,,,,,
0.3751176,Not too likely,,,,,,,,,,,,,,,,,
1.1878789,Somewhat likely,,,,,,,,,,,,,,,,,
1.1469064,Very likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Greater independence,,,,
0.2355027,Not too likely,Nothing at all,Extremely realistic,Very enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Worse,Reduce burden on family,,,,
0.0964068,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",No difference,Always available,,,,
0.1906588,Not at all likely,A little,Extremely realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Greater independence,,,,
0.4230012,Not at all likely,,,,,,,,,,,,,,,,,
0.1628695,Very likely,A little,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Save money,,,,
0.4791321,Very likely,,,,,,,,,,,,,,,,,
1.872915,I am already doing this,Nothing at all,Not very realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Refused,Reduce burden on family,,,,
0.4274501,I am already doing this,,,,,,,,,,,,,,,,,
0.2031493,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely",Better,Household assistance,Greater independence,,,
0.1907976,Very likely,,,,,,,,,,,,,,,,,
0.1710747,Very likely,,,,,,,,,,,,,,,,,
0.4919647,Somewhat likely,,,,,,,,,,,,,,,,,
0.1563989,Somewhat likely,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Refused / No answer,,,,
0.0879108,Not too likely,,,,,,,,,,,,,,,,,
0.1498672,Somewhat likely,,,,,,,,,,,,,,,,,
2.1571258,I am already doing this,A little,Extremely realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",Better,Save money,Better quality of care,,,
2.0535321,Very likely,A little,Extremely realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","No, not likely","No, not likely","No, not likely","No, not likely",No difference,,,,Refused / No answer,
0.1565217,Somewhat likely,,,,,,,,,,,,,,,,,
0.2935532,Very likely,Nothing at all,Somewhat realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Worse,Other,,,,
1.794885,Somewhat likely,,,,,,,,,,,,,,,,,
0.6585947,Not at all likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely",Refused,Better,,,,Human factor lacking,
1.6790474,Somewhat likely,,,,,,,,,,,,,,,,,
0.5438645,Somewhat likely,,,,,,,,,,,,,,,,,
0.3110918,Not at all likely,,,,,,,,,,,,,,,,,
1.6791985,Not at all likely,,,,,,,,,,,,,,,,,
0.2397784,Very likely,,,,,,,,,,,,,,,,,
1.2232322,Very likely,,,,,,,,,,,,,,,,,
0.2029993,Not too likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.28625,Very likely,,,,,,,,,,,,,,,,,
0.7474417,Very likely,,,,,,,,,,,,,,,,,
0.3869852,Somewhat likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",Worse,,,,Human factor lacking,
0.2499109,I am already doing this,Nothing at all,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",No difference,,,,Human factor lacking,
0.1796301,Somewhat likely,,,,,,,,,,,,,,,,,
0.2979305,I am already doing this,Nothing at all,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"No, not likely","Yes, likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Human factor lacking,
1.1376267,Not too likely,,,,,,,,,,,,,,,,,
0.0879108,Not too likely,A little,Extremely realistic,Very enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Worse,Greater independence,Save money,,,
0.3304742,Not too likely,,,,,,,,,,,,,,,,,
0.1649506,Somewhat likely,,,,,,,,,,,,,,,,,
0.1295207,Somewhat likely,,,,,,,,,,,,,,,,,
0.1159267,Somewhat likely,Nothing at all,Extremely realistic,Very enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Reduce burden on family,Better quality of care,,,
0.3867345,I am already doing this,,,,,,,,,,,,,,,,,
0.9584164,Very likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Somewhat worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely",Refused,No difference,,,,Cost,
0.2314666,Somewhat likely,Nothing at all,Not very realistic,Not at all enthusiastic,Not at all worried,No,"No, not likely","No, not likely","No, not likely","Yes, likely","No, not likely","No, not likely",Better,,,,Refused / No answer,
0.2134839,I am already doing this,,,,,,,,,,,,,,,,,
2.4938105,Very likely,A little,Somewhat realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.4712879,Not too likely,Nothing at all,Somewhat realistic,Somewhat enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","Yes, likely",Better,Better quality of care,,,,
